reading,rainfall,county,fire_name
2017-09-15,0.06,Mendocino,Mendocino
2017-09-17,0.07,Mendocino,Mendocino
2017-10-08,0.07,Mendocino,Mendocino
2017-10-10,0.08,Mendocino,Mendocino
2017-10-12,0.07,Mendocino,Mendocino
2017-10-16,0.07,Mendocino,Mendocino
2017-10-19,0.09,Mendocino,Mendocino
2017-10-23,0.13,Mendocino,Mendocino
2017-10-24,0.12,Mendocino,Mendocino
2017-10-25,0.08,Mendocino,Mendocino
2017-10-26,0.13,Mendocino,Mendocino
2017-10-27,0.1,Mendocino,Mendocino
2017-10-28,0.23,Mendocino,Mendocino
2017-10-29,0.27,Mendocino,Mendocino
2017-10-30,0.14,Mendocino,Mendocino
2017-10-31,0.09,Mendocino,Mendocino
2017-11-01,0.09,Mendocino,Mendocino
2017-11-02,0.13,Mendocino,Mendocino
2017-11-03,0.08,Mendocino,Mendocino
2017-11-06,0.17,Mendocino,Mendocino
2017-11-07,0.2,Mendocino,Mendocino
2017-11-08,0.24,Mendocino,Mendocino
2017-11-09,0.2,Mendocino,Mendocino
2017-11-10,0.31,Mendocino,Mendocino
2017-11-11,0.16,Mendocino,Mendocino
2017-11-12,0.16,Mendocino,Mendocino
2017-11-13,0.19,Mendocino,Mendocino
2017-11-14,0.06,Mendocino,Mendocino
2017-11-15,0.21,Mendocino,Mendocino
2017-11-16,0.36,Mendocino,Mendocino
2017-11-17,0.37,Mendocino,Mendocino
2017-11-18,0.15,Mendocino,Mendocino
2017-11-19,0.24,Mendocino,Mendocino
2017-11-20,0.2,Mendocino,Mendocino
2017-11-21,0.19,Mendocino,Mendocino
2017-11-22,0.17,Mendocino,Mendocino
2017-11-23,0.25,Mendocino,Mendocino
2017-11-24,0.27,Mendocino,Mendocino
2017-11-25,0.15,Mendocino,Mendocino
2017-11-26,0.09,Mendocino,Mendocino
2017-11-27,0.16,Mendocino,Mendocino
2017-11-28,0.21,Mendocino,Mendocino
2017-11-29,0.23,Mendocino,Mendocino
2017-11-30,0.17,Mendocino,Mendocino
2017-12-01,0.26,Mendocino,Mendocino
2017-12-02,0.2,Mendocino,Mendocino
2017-12-03,0.18,Mendocino,Mendocino
2017-12-04,0.13,Mendocino,Mendocino
2017-12-05,0.25,Mendocino,Mendocino
2017-12-06,0.26,Mendocino,Mendocino
2017-12-07,0.27,Mendocino,Mendocino
2017-12-08,0.35,Mendocino,Mendocino
2017-12-09,0.24,Mendocino,Mendocino
2017-12-10,0.26,Mendocino,Mendocino
2017-12-11,0.27,Mendocino,Mendocino
2017-12-12,0.31,Mendocino,Mendocino
2017-12-13,0.18,Mendocino,Mendocino
2017-12-14,0.31,Mendocino,Mendocino
2017-12-15,0.58,Mendocino,Mendocino
2017-12-16,0.25,Mendocino,Mendocino
2017-12-17,0.16,Mendocino,Mendocino
2017-12-18,0.3,Mendocino,Mendocino
2017-12-19,0.37,Mendocino,Mendocino
2017-12-20,0.36,Mendocino,Mendocino
2017-12-21,0.34,Mendocino,Mendocino
2017-12-22,0.3,Mendocino,Mendocino
2017-12-23,0.16,Mendocino,Mendocino
2017-12-24,0.17,Mendocino,Mendocino
2017-12-25,0.08,Mendocino,Mendocino
2017-12-26,0.25,Mendocino,Mendocino
2017-12-27,0.32,Mendocino,Mendocino
2017-12-28,0.3,Mendocino,Mendocino
2017-12-29,0.45,Mendocino,Mendocino
2017-12-30,0.32,Mendocino,Mendocino
2017-12-31,0.48,Mendocino,Mendocino
2018-01-01,0.46,Mendocino,Mendocino
2018-01-02,0.21,Mendocino,Mendocino
2018-01-03,0.2,Mendocino,Mendocino
2018-01-04,0.29,Mendocino,Mendocino
2018-01-05,0.19,Mendocino,Mendocino
2018-01-06,0.16,Mendocino,Mendocino
2018-01-07,0.32,Mendocino,Mendocino
2018-01-08,0.3,Mendocino,Mendocino
2018-01-09,0.25,Mendocino,Mendocino
2018-01-10,0.16,Mendocino,Mendocino
2018-01-11,0.21,Mendocino,Mendocino
2018-01-12,0.25,Mendocino,Mendocino
2018-01-13,0.25,Mendocino,Mendocino
2018-01-14,0.33,Mendocino,Mendocino
2018-01-15,0.21,Mendocino,Mendocino
2018-01-16,0.3,Mendocino,Mendocino
2018-01-17,0.17,Mendocino,Mendocino
2018-01-18,0.29,Mendocino,Mendocino
2018-01-19,0.21,Mendocino,Mendocino
2018-01-20,0.32,Mendocino,Mendocino
2018-01-21,0.27,Mendocino,Mendocino
2018-01-22,0.28,Mendocino,Mendocino
2018-01-23,0.27,Mendocino,Mendocino
2018-01-24,0.34,Mendocino,Mendocino
2018-01-25,0.27,Mendocino,Mendocino
2018-01-26,0.45,Mendocino,Mendocino
2018-01-27,0.24,Mendocino,Mendocino
2018-01-28,0.32,Mendocino,Mendocino
2018-01-29,0.17,Mendocino,Mendocino
2018-01-30,0.22,Mendocino,Mendocino
2018-01-31,0.18,Mendocino,Mendocino
2018-02-01,0.22,Mendocino,Mendocino
2018-02-02,0.27,Mendocino,Mendocino
2018-02-03,0.18,Mendocino,Mendocino
2018-02-04,0.13,Mendocino,Mendocino
2018-02-05,0.16,Mendocino,Mendocino
2018-02-06,0.24,Mendocino,Mendocino
2018-02-07,0.21,Mendocino,Mendocino
2018-02-08,0.14,Mendocino,Mendocino
2018-02-09,0.17,Mendocino,Mendocino
2018-02-10,0.19,Mendocino,Mendocino
2018-02-11,0.19,Mendocino,Mendocino
2018-02-12,0.22,Mendocino,Mendocino
2018-02-13,0.45,Mendocino,Mendocino
2018-02-14,0.33,Mendocino,Mendocino
2018-02-15,0.29,Mendocino,Mendocino
2018-02-16,0.45,Mendocino,Mendocino
2018-02-17,0.46,Mendocino,Mendocino
2018-02-18,0.32,Mendocino,Mendocino
2018-02-19,0.37,Mendocino,Mendocino
2018-02-20,0.24,Mendocino,Mendocino
2018-02-21,0.3,Mendocino,Mendocino
2018-02-22,0.25,Mendocino,Mendocino
2018-02-23,0.19,Mendocino,Mendocino
2018-02-24,0.22,Mendocino,Mendocino
2018-02-25,0.19,Mendocino,Mendocino
2018-02-26,0.27,Mendocino,Mendocino
2018-02-27,0.2,Mendocino,Mendocino
2018-02-28,0.17,Mendocino,Mendocino
2018-03-01,0.21,Mendocino,Mendocino
2018-03-02,0.35,Mendocino,Mendocino
2018-03-03,0.19,Mendocino,Mendocino
2018-03-04,0.26,Mendocino,Mendocino
2018-03-05,0.22,Mendocino,Mendocino
2018-03-07,0.1,Mendocino,Mendocino
2018-03-08,0.24,Mendocino,Mendocino
2018-03-09,0.18,Mendocino,Mendocino
2018-03-10,0.3,Mendocino,Mendocino
2018-03-11,0.13,Mendocino,Mendocino
2018-03-12,0.29,Mendocino,Mendocino
2018-03-13,0.26,Mendocino,Mendocino
2018-03-14,0.21,Mendocino,Mendocino
2018-03-15,0.17,Mendocino,Mendocino
2018-03-16,0.18,Mendocino,Mendocino
2018-03-17,0.15,Mendocino,Mendocino
2018-03-18,0.1,Mendocino,Mendocino
2018-03-19,0.06,Mendocino,Mendocino
2018-03-20,0.17,Mendocino,Mendocino
2018-03-21,0.14,Mendocino,Mendocino
2018-03-22,0.24,Mendocino,Mendocino
2018-03-23,0.41,Mendocino,Mendocino
2018-03-24,0.21,Mendocino,Mendocino
2018-03-25,0.15,Mendocino,Mendocino
2018-03-26,0.09,Mendocino,Mendocino
2018-03-27,0.14,Mendocino,Mendocino
2018-03-28,0.06,Mendocino,Mendocino
2018-03-29,0.12,Mendocino,Mendocino
2018-03-30,0.15,Mendocino,Mendocino
2018-03-31,0.15,Mendocino,Mendocino
2018-04-01,0.13,Mendocino,Mendocino
2018-04-02,0.14,Mendocino,Mendocino
2018-04-03,0.07,Mendocino,Mendocino
2018-04-04,0.11,Mendocino,Mendocino
2018-04-05,0.07,Mendocino,Mendocino
2018-04-06,0.08,Mendocino,Mendocino
2018-04-07,0.11,Mendocino,Mendocino
2018-04-08,0.13,Mendocino,Mendocino
2018-04-09,0.07,Mendocino,Mendocino
2018-04-10,0.11,Mendocino,Mendocino
2018-04-11,0.07,Mendocino,Mendocino
2018-04-12,0.22,Mendocino,Mendocino
2018-04-13,0.13,Mendocino,Mendocino
2018-04-14,0.06,Mendocino,Mendocino
2018-04-15,0.06,Mendocino,Mendocino
2018-04-16,0.1,Mendocino,Mendocino
2018-04-17,0.12,Mendocino,Mendocino
2018-04-18,0.1,Mendocino,Mendocino
2018-04-19,0.14,Mendocino,Mendocino
2018-04-20,0.08,Mendocino,Mendocino
2018-04-21,0.1,Mendocino,Mendocino
2018-04-22,0.07,Mendocino,Mendocino
2018-04-23,0.18,Mendocino,Mendocino
2018-04-24,0.07,Mendocino,Mendocino
2018-04-25,0.12,Mendocino,Mendocino
2018-04-27,0.13,Mendocino,Mendocino
2018-04-28,0.07,Mendocino,Mendocino
2018-04-29,0.12,Mendocino,Mendocino
2018-05-01,0.12,Mendocino,Mendocino
2018-05-04,0.12,Mendocino,Mendocino
2018-05-05,0.08,Mendocino,Mendocino
2018-05-08,0.06,Mendocino,Mendocino
2018-05-17,0.06,Mendocino,Mendocino
2018-05-18,0.13,Mendocino,Mendocino
2018-05-20,0.1,Mendocino,Mendocino
2018-05-22,0.08,Mendocino,Mendocino
2018-05-26,0.08,Mendocino,Mendocino
2018-05-27,0.11,Mendocino,Mendocino
2018-05-28,0.06,Mendocino,Mendocino
2018-05-30,0.09,Mendocino,Mendocino
2018-06-04,0.1,Mendocino,Mendocino
2016-12-15,0.54,Ventura,Thomas
2016-12-16,0.48,Ventura,Thomas
2016-12-18,0.1,Ventura,Thomas
2016-12-21,0.07,Ventura,Thomas
2016-12-22,0.08,Ventura,Thomas
2016-12-23,1.13,Ventura,Thomas
2016-12-30,0.75,Ventura,Thomas
2017-01-04,0.54,Ventura,Thomas
2017-01-05,0.35,Ventura,Thomas
2017-01-07,0.39,Ventura,Thomas
2017-01-09,0.65,Ventura,Thomas
2017-01-11,0.48,Ventura,Thomas
2017-01-12,0.46,Ventura,Thomas
2017-01-18,0.09,Ventura,Thomas
2017-01-19,0.87,Ventura,Thomas
2017-01-20,0.48,Ventura,Thomas
2017-01-21,0.3,Ventura,Thomas
2017-01-22,0.22,Ventura,Thomas
2017-01-23,0.26,Ventura,Thomas
2017-01-24,0.16,Ventura,Thomas
2017-01-25,0.09,Ventura,Thomas
2017-03-10,0.08,Ventura,Thomas
2017-03-21,0.24,Ventura,Thomas
2017-03-24,0.07,Ventura,Thomas
2017-04-01,0.13,Ventura,Thomas
2017-04-03,0.06,Ventura,Thomas
2017-04-04,0.07,Ventura,Thomas
2017-04-05,0.17,Ventura,Thomas
2017-04-06,0.07,Ventura,Thomas
2017-04-07,0.11,Ventura,Thomas
2017-04-11,0.06,Ventura,Thomas
2017-04-12,0.06,Ventura,Thomas
2017-04-13,0.06,Ventura,Thomas
2017-04-15,0.07,Ventura,Thomas
2017-04-16,0.1,Ventura,Thomas
2017-04-17,0.1,Ventura,Thomas
2017-04-18,0.06,Ventura,Thomas
2017-04-19,0.09,Ventura,Thomas
2017-04-22,0.06,Ventura,Thomas
2017-04-24,0.1,Ventura,Thomas
2017-04-25,0.11,Ventura,Thomas
2017-04-28,0.07,Ventura,Thomas
2017-05-01,0.09,Ventura,Thomas
2017-05-02,0.09,Ventura,Thomas
2017-05-03,0.09,Ventura,Thomas
2017-05-04,0.11,Ventura,Thomas
2017-05-05,0.09,Ventura,Thomas
2017-05-06,0.07,Ventura,Thomas
2017-05-07,0.1,Ventura,Thomas
2017-05-08,0.07,Ventura,Thomas
2017-05-09,0.08,Ventura,Thomas
2017-05-10,0.08,Ventura,Thomas
2017-05-11,0.1,Ventura,Thomas
2017-05-12,0.11,Ventura,Thomas
2017-05-15,0.12,Ventura,Thomas
2017-05-16,0.11,Ventura,Thomas
2017-05-17,0.11,Ventura,Thomas
2017-05-18,0.1,Ventura,Thomas
2017-05-19,0.16,Ventura,Thomas
2017-05-22,0.09,Ventura,Thomas
2017-05-24,0.08,Ventura,Thomas
2017-05-25,0.07,Ventura,Thomas
2017-10-13,0.08,Ventura,Thomas
2002-11-08,0.4,San Diego,Cedar
2002-11-09,0.75,San Diego,Cedar
2002-11-10,0.22,San Diego,Cedar
2002-11-30,0.53,San Diego,Cedar
2002-12-17,0.93,San Diego,Cedar
2002-12-20,0.73,San Diego,Cedar
2002-12-21,0.26,San Diego,Cedar
2002-12-29,0.11,San Diego,Cedar
2003-02-11,1.11,San Diego,Cedar
2003-02-12,1.15,San Diego,Cedar
2003-02-13,0.51,San Diego,Cedar
2003-02-14,0.24,San Diego,Cedar
2003-02-25,1.82,San Diego,Cedar
2003-02-27,0.58,San Diego,Cedar
2003-03-04,0.15,San Diego,Cedar
2003-03-15,0.73,San Diego,Cedar
2003-03-16,0.97,San Diego,Cedar
2003-04-13,0.15,San Diego,Cedar
2003-04-14,0.78,San Diego,Cedar
2003-04-15,1.05,San Diego,Cedar
2003-04-17,0.06,San Diego,Cedar
2003-05-08,0.3,San Diego,Cedar
2003-06-23,0.2,San Diego,Cedar
2011-10-05,0.71,Lassen,Rush
2011-10-10,0.07,Lassen,Rush
2011-11-18,0.15,Lassen,Rush
2011-11-20,0.26,Lassen,Rush
2012-01-20,1.21,Lassen,Rush
2012-01-21,0.4,Lassen,Rush
2012-01-22,0.07,Lassen,Rush
2012-01-23,0.45,Lassen,Rush
2012-02-07,0.07,Lassen,Rush
2012-02-27,0.13,Lassen,Rush
2012-02-29,0.11,Lassen,Rush
